"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","1.1338","0.5095","1.2608","0.4920","21.57B","122.54%"
"10/01/2024","0.5095","0.6116","0.6340","0.4903","14.58B","-16.70%"
"09/01/2024","0.6116","0.5662","0.6638","0.5029","12.96B","8.00%"
"08/01/2024","0.5663","0.6231","0.6418","0.4327","17.43B","-9.12%"
"07/01/2024","0.6231","0.4760","0.6581","0.3865","20.76B","30.90%"
"06/01/2024","0.4760","0.5175","0.5322","0.4599","13.30B","-8.02%"
"05/01/2024","0.5175","0.5006","0.5692","0.4795","15.14B","3.42%"
"04/01/2024","0.5004","0.6291","0.6418","0.4312","21.67B","-20.46%"
"03/01/2024","0.6291","0.5861","0.7435","0.5454","32.65B","7.35%"
"02/01/2024","0.5860","0.5033","0.6234","0.4904","16.30B","16.44%"
"01/01/2024","0.5033","0.6154","0.6394","0.4910","15.32B","-18.22%"
"12/01/2023","0.6154","0.6055","0.6994","0.5814","15.31B","1.65%"
"11/01/2023","0.6054","0.5996","0.7478","0.5737","16.62B","0.97%"
"10/01/2023","0.5996","0.5148","0.6156","0.4746","12.95B","16.46%"
"09/01/2023","0.5148","0.5110","0.5463","0.4624","11.81B","0.75%"
"08/01/2023","0.5110","0.6976","0.7076","0.4334","17.77B","-26.76%"
"07/01/2023","0.6976","0.4729","0.9214","0.4586","21.33B","47.52%"
"06/01/2023","0.4729","0.5168","0.5634","0.4507","13.98B","-8.49%"
"05/01/2023","0.5168","0.4706","0.5289","0.4116","13.23B","9.83%"
"04/01/2023","0.4705","0.5379","0.5453","0.4364","13.88B","-12.54%"
"03/01/2023","0.5380","0.3762","0.5821","0.3480","25.47B","43.01%"
"02/01/2023","0.3762","0.4057","0.4202","0.3629","12.35B","-7.27%"
"01/01/2023","0.4057","0.3388","0.4321","0.3152","15.97B","19.78%"
"12/01/2022","0.3387","0.4078","0.4092","0.3329","10.95B","-16.94%"
"11/01/2022","0.4078","0.4643","0.5096","0.3203","16.50B","-12.18%"
"10/01/2022","0.4643","0.4799","0.5468","0.4296","15.46B","-3.24%"
"09/01/2022","0.4799","0.3277","0.5570","0.3137","25.27B","46.44%"
"08/01/2022","0.3277","0.3793","0.3934","0.3187","12.15B","-13.60%"
