"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2025","0.225264","0.172323","0.259274","0.164343","49.73B","30.72%"
"01/04/2025","0.172324","0.166622","0.192817","0.130302","42.72B","3.42%"
"01/03/2025","0.166619","0.201867","0.242069","0.143525","49.91B","-17.46%"
"01/02/2025","0.201875","0.328824","0.332099","0.181705","61.39B","-38.61%"
"01/01/2025","0.328821","0.315956","0.433456","0.307073","80.38B","4.07%"
"01/12/2024","0.315964","0.421669","0.483816","0.264066","122.94B","-25.06%"
"01/11/2024","0.421638","0.161567","0.479759","0.142269","220.86B","160.95%"
"01/10/2024","0.161578","0.114316","0.179568","0.101238","72.27B","41.32%"
"01/09/2024","0.114332","0.101282","0.131880","0.089110","41.68B","12.89%"
"01/08/2024","0.101281","0.121921","0.123089","0.080549","57.25B","-16.93%"
"01/07/2024","0.121920","0.124428","0.143452","0.092635","57.70B","-2.02%"
"01/06/2024","0.124432","0.158970","0.165473","0.114298","38.18B","-21.74%"
"01/05/2024","0.158988","0.133360","0.174701","0.120207","76.69B","19.29%"
"01/04/2024","0.133274","0.220113","0.220113","0.129598","104.87B","-39.45%"
"01/03/2024","0.220106","0.117209","0.228015","0.117203","197.09B","87.78%"
"01/02/2024","0.117212","0.078756","0.134850","0.077376","61.53B","48.83%"
"01/01/2024","0.078755","0.089543","0.094339","0.074175","51.87B","-12.05%"
"01/12/2023","0.089544","0.083396","0.106783","0.082274","72.32B","7.38%"
"01/11/2023","0.083390","0.068279","0.087445","0.065872","85.64B","22.13%"
"01/10/2023","0.068279","0.062072","0.075095","0.057400","32.40B","10.00%"
"01/09/2023","0.062072","0.063756","0.064772","0.059406","23.08B","-2.64%"
"01/08/2023","0.063756","0.077830","0.078277","0.056911","36.90B","-18.08%"
"01/07/2023","0.077831","0.066492","0.083700","0.063728","53.88B","16.98%"
"01/06/2023","0.066535","0.071659","0.073299","0.055888","29.03B","-7.15%"
"01/05/2023","0.071661","0.079462","0.081456","0.068890","23.27B","-9.82%"
"01/04/2023","0.079462","0.076982","0.104060","0.075300","78.97B","3.22%"
"01/03/2023","0.076984","0.080809","0.082821","0.062686","41.93B","-4.71%"
"01/02/2023","0.080792","0.096109","0.099721","0.078583","42.96B","-15.93%"
"01/01/2023","0.096096","0.070169","0.097679","0.069075","55.04B","37.00%"
"01/12/2022","0.070144","0.106775","0.111584","0.066392","52.55B","-34.31%"
"01/11/2022","0.106775","0.126834","0.158237","0.070767","118.84B","-15.83%"
"01/10/2022","0.126858","0.061675","0.150228","0.055189","80.09B","105.68%"
"01/09/2022","0.061677","0.061329","0.068159","0.055954","32.44B","0.58%"
"01/08/2022","0.061323","0.068110","0.088242","0.060242","48.25B","-9.96%"
"01/07/2022","0.068106","0.066301","0.076849","0.057692","34.24B","2.69%"
"01/06/2022","0.066322","0.085831","0.089324","0.049239","57.00B","-22.70%"
"01/05/2022","0.085803","0.127440","0.137688","0.068584","53.92B","-32.68%"
"01/04/2022","0.127465","0.138077","0.179018","0.122725","90.41B","-7.70%"
"01/03/2022","0.138099","0.133470","0.153500","0.110102","30.26B","3.47%"
"01/02/2022","0.133469","0.141611","0.172657","0.107474","37.29B","-5.76%"
"01/01/2022","0.141632","0.170297","0.211988","0.120493","60.27B","-16.83%"
"01/12/2021","0.170297","0.214438","0.223029","0.133105","66.36B","-20.58%"
"01/11/2021","0.214425","0.279974","0.296603","0.190079","66.55B","-23.40%"
"01/10/2021","0.279928","0.204248","0.339122","0.201872","129.63B","37.04%"
"01/09/2021","0.204272","0.278230","0.319579","0.194212","57.45B","-26.58%"
"01/08/2021","0.278231","0.206723","0.347427","0.192766","118.42B","34.65%"
"01/07/2021","0.206627","0.253113","0.259426","0.088727","73.53B","-18.38%"
"01/06/2021","0.253155","0.323958","0.444100","0.164609","135.77B","-21.85%"
"01/05/2021","0.323951","0.336657","0.738255","0.217528","363.27B","-3.77%"
"01/04/2021","0.336635","0.053742","0.449889","0.053723","583.32B","526.37%"
